No.,Time,Source,Destination,Protocol,Length,Info
1076,28.658779,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.35.48? Tell 10.12.32.1
1077,28.761565,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.36.222? Tell 10.12.63.254
1078,28.864998,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.51.202? Tell 10.12.63.254
1079,28.865026,fe80::c8dd:b2ff:fe91:8fb2,ff02::fb,MDNS,145,"Standard query 0x0000 ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question A 10.12.35.98 AAAA fe80::c8dd:b2ff:fe91:8fb2"
1080,28.865133,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.54.73? Tell 10.12.32.1
1081,28.966871,::,ff02::1:3,ICMPv6,90,Multicast Listener Query
1082,28.96696,::,ff02::1:3,ICMPv6,90,Multicast Listener Query
1083,29.068591,fe80::c8dd:b2ff:fe91:8fb2,ff02::fb,MDNS,416,"Standard query response 0x0000 SRV, cache flush 0 0 56666 Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local A, cache flush 10.12.35.98 AAAA, cache flush fe80::c8dd:b2ff:fe91:8fb2 NSEC, cache flush {""nm"":""Keerthana Redmi"",""as"":""[8194]"",""ip"":""98""}._mi-connect._udp.local NSEC, cache flush 98.35.12.10.in-addr.arpa NSEC, cache flush 2.B.F.8.1.9.E.F.F.F.2.B.D.D.8.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-2.local"
1084,29.068771,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.37.13? Tell 10.12.63.254
1085,29.068787,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.38.12? Tell 10.12.63.254
1086,29.068796,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.249? Tell 10.12.32.1
1087,29.068804,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.38.171? Tell 10.12.63.254
1088,29.170645,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.101? Tell 10.12.32.1
1089,29.272792,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.8? Tell 10.12.32.1
1090,29.272821,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.37.36? Tell 10.12.32.1
1091,29.272831,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.47? Tell 10.12.32.1
1092,29.272838,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.54.89? Tell 10.12.32.1
1093,29.272847,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.30? Tell 10.12.32.1
1094,29.272854,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.37.204? Tell 10.12.32.1
1095,29.272861,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.35.238? Tell 10.12.32.1
1096,29.274922,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.147? Tell 10.12.32.1
1097,29.274938,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.50.151? Tell 10.12.32.1
1098,29.274947,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.35.23? Tell 10.12.32.1
1099,29.274954,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.205? Tell 10.12.32.1
1100,29.375043,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.222? Tell 10.12.32.1
1101,29.375075,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.49.181? Tell 10.12.32.1
1102,29.375086,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.36.188? Tell 10.12.32.1
1103,29.375094,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.37.204? Tell 10.12.63.254
1104,29.375101,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.51.244? Tell 10.12.63.254
1105,29.403856,10.12.35.246,142.250.199.174,TCP,55,52404  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1 [TCP segment of a reassembled PDU]
1106,29.449213,142.250.199.174,10.12.35.246,TCP,66,443  >  52404 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2
1107,29.498599,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.38.16? Tell 10.12.63.254
1108,29.597647,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.200? Tell 10.12.32.1
1109,29.597675,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.51.5? Tell 10.12.32.1
1110,29.653607,10.12.35.246,224.77.77.77,UDP,148,12177  >  12177 Len=106
1111,29.667811,10.12.35.246,224.77.77.77,UDP,148,12177  >  12177 Len=106
1112,29.682153,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.51.188? Tell 10.12.63.254
1113,29.682179,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.38.2? Tell 10.12.32.1
1114,29.682188,CyberTAN_ce:63:13,Broadcast,ARP,56,Who has 10.12.51.102? Tell 10.12.34.41
1115,29.683277,10.12.35.246,224.77.77.77,UDP,148,12177  >  12177 Len=106
1116,29.713909,10.12.35.246,142.250.192.34,TCP,55,52460  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU]
1117,29.752428,10.12.35.246,142.250.192.34,TLSv1.2,125,Application Data
1118,29.752479,10.12.35.246,142.250.192.34,TLSv1.2,93,Application Data
1119,29.754907,10.12.35.246,172.17.18.2,DNS,78,Standard query 0x73b3 A wpad.amritanet.edu
1120,29.784633,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.36.222? Tell 10.12.63.254
1121,29.784712,fe80::90e6:2bff:fec5:cd4b,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
1122,29.784859,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.51.202? Tell 10.12.63.254
1123,29.7876,142.250.192.34,10.12.35.246,TCP,66,443  >  52460 [ACK] Seq=1 Ack=2 Win=263 Len=0 SLE=1 SRE=2
1124,29.795559,172.17.18.2,10.12.35.246,DNS,146,Standard query response 0x73b3 No such name A wpad.amritanet.edu SOA prithvi.amritanet.edu
1125,29.859058,142.250.192.34,10.12.35.246,TCP,60,443  >  52459 [ACK] Seq=1 Ack=72 Win=271 Len=0
1126,29.859058,142.250.192.34,10.12.35.246,TCP,60,443  >  52459 [ACK] Seq=1 Ack=111 Win=271 Len=0
1127,29.859058,142.250.192.34,10.12.35.246,TLSv1.2,93,Application Data
1128,29.887469,::,ff02::1:3,ICMPv6,90,Multicast Listener Query
1129,29.890269,142.250.192.34,10.12.35.246,TLSv1.2,129,Application Data
1130,29.89031,10.12.35.246,142.250.192.34,TCP,54,52459  >  443 [ACK] Seq=111 Ack=115 Win=509 Len=0
1131,29.891428,10.12.35.246,142.250.192.34,TLSv1.2,89,Application Data
1132,29.891624,10.12.35.246,142.250.192.34,TLSv1.2,132,Application Data
1133,29.895918,142.250.192.34,10.12.35.246,TLSv1.2,85,Application Data
1134,29.895918,142.250.192.34,10.12.35.246,TLSv1.2,93,Application Data
1135,29.895957,10.12.35.246,142.250.192.34,TCP,54,52459  >  443 [ACK] Seq=224 Ack=185 Win=509 Len=0
1136,29.896085,10.12.35.246,142.250.192.34,TLSv1.2,93,Application Data
1137,29.961699,142.250.192.34,10.12.35.246,TCP,60,443  >  52459 [ACK] Seq=185 Ack=224 Win=271 Len=0
1138,29.965776,142.250.192.34,10.12.35.246,TCP,60,443  >  52459 [ACK] Seq=185 Ack=263 Win=271 Len=0
1139,29.989877,::,ff02::1:3,ICMPv6,90,Multicast Listener Query
1140,29.989971,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.38.87? Tell 10.12.32.1
1141,30.034238,142.250.192.34,10.12.35.246,TLSv1.2,127,Application Data
1142,30.034238,142.250.192.34,10.12.35.246,TLSv1.2,402,Application Data
1143,30.034371,10.12.35.246,142.250.192.34,TCP,54,52459  >  443 [ACK] Seq=263 Ack=606 Win=507 Len=0
